review_id,product_name,product_category,review_text,rating,sentiment_label,reviewer_name,review_date,platform,verified_purchase,helpful_votes
0fa75bc6-242,Havells Adore LED 9W,lighting,Installed 10 of these in my home. My neighbor also bought one after seeing mine. Consistent brightness and great build quality.,4,positive,Geeta O.,2024-01-01,Croma,True,0
9d4b1020-184,Havells Bello 25L,water_heaters,Water not heating properly. Takes 30+ minutes for lukewarm water. Returned to Amazon. Getting refund. Defective heating element perhaps.,1,negative,Rajesh V.,2024-01-01,Amazon.in,True,0
9328f1ff-e10,Havells Carnival,fans,Premium quality fan from Havells. Much better than the Chinese alternatives. Energy efficient and stylish design. Goes well with my room decor.,4,positive,Pooja B.,2024-01-01,Amazon.in,True,0
4836834f-8ec,Havells Bello 25L,water_heaters,Excellent water heater. Heats water in 5 minutes. Much better than the Chinese alternatives. The safety features are amazing.,5,positive,Rohit E.,2024-01-01,Croma,True,0
f9960234-de9,Havells ES-40 Premium,fans,Premium quality fan from Havells. Very happy with this purchase. Energy efficient and stylish design. Goes well with my room decor.,5,positive,Raghav C.,2024-01-01,Amazon.in,False,94
a762f9c7-750,Havells Pacer,fans,Air flow is good but makes noise at speed 4 and 5. Would rate 3/5. Room for improvement. Average experience overall.,3,mixed,Meera D.,2024-01-02,Amazon.in,False,0
c911185d-72b,Havells Ventil Air DX,fans,"The fan looks good and air delivery is decent, but the motor heating is a problem. Would rate 3/5. Room for improvement.",5,mixed,Suresh L.,2024-01-02,Reliance Digital,True,32
af730037-00c,Havells Freshia AP-58,air_purifiers,Purification is okay but high noise at max speed. Would rate 3/5. Room for improvement. Good for smaller rooms only.,1,mixed,Vikram P.,2024-01-02,Reliance Digital,True,63
d8522c7a-b08,Havells Nicola,fans,Using this Havells Nicola for 6 months now. Very satisfied with the performance. The warranty gives peace of mind. The BLDC motor saves a lot on electricity.,3,positive,Anjali N.,2024-01-02,Havells.com,True,111
b98154f8-5c0,Havells Studio AP-22,air_purifiers,Fan stopped working after 8 months. Misleading product description on website. Service not available in my city.,1,negative,Tanvi I.,2024-01-02,Croma,True,0
afa56bc7-9dc,Havells Vitonica 500W,mixer_grinders,Powerful mixer grinder! Grinds everything to fine paste. Much better than the Chinese alternatives. The speed settings is excellent.,5,positive,Meera D.,2024-01-02,Flipkart,True,37
